,legacy category name,participant,category rank,phase name,aspect name,aspect command,short category name,short category command,long category name,long category command,unique name
0,Down from the Program's Start to the Bug,1,0,routine,Debugging strategies,\dbgstrat,DrillDn,\dbgstratDrilldn,Down from the Program's Start to the Bug,\dbgstratDrilldnL,Debugging strategies / DrillDn
1,Down from the Program's Start to the Bug,1,0,feature,Debugging strategies,\dbgstrat,DrillDn,\dbgstratDrilldn,Down from the Program's Start to the Bug,\dbgstratDrilldnL,Debugging strategies / DrillDn
2,Add Debugging Functionality,1,1,feature,Debugging strategies,\dbgstrat,AddDbg,\dbgstratAddDbg,Add Debugging Functionality,\dbgstratAddDbgL,Debugging strategies / AddDbg
3,Down from the Program's Start to the Bug,1,0,use-case,Debugging strategies,\dbgstrat,DrillDn,\dbgstratDrilldn,Down from the Program's Start to the Bug,\dbgstratDrilldnL,Debugging strategies / DrillDn
4,Add Debugging Functionality,1,1,use-case,Debugging strategies,\dbgstrat,AddDbg,\dbgstratAddDbg,Add Debugging Functionality,\dbgstratAddDbgL,Debugging strategies / AddDbg
5,manual debugging,1,0,routine,Debugging styles,\dbgstyle,ManDeb,\dbgstyleMan,Manual Debugging,\dbgstyleManL,Debugging styles / ManDeb
6,socially-aided debugging,1,1,routine,Debugging styles,\dbgstyle,SocDeb,\dbgstyleSoc,Socially-Aided Debugging,\dbgstyleSocL,Debugging styles / SocDeb
7,manual debugging,1,0,feature,Debugging styles,\dbgstyle,ManDeb,\dbgstyleMan,Manual Debugging,\dbgstyleManL,Debugging styles / ManDeb
8,tool-aided debugging,1,1,feature,Debugging styles,\dbgstyle,ToolDeb,\dbgstyleTool,Tool-Aided Debugging,\dbgstyleToolL,Debugging styles / ToolDeb
9,manual debugging,1,0,use-case,Debugging styles,\dbgstyle,ManDeb,\dbgstyleMan,Manual Debugging,\dbgstyleManL,Debugging styles / ManDeb
10,tool-aided debugging,1,1,use-case,Debugging styles,\dbgstyle,ToolDeb,\dbgstyleTool,Tool-Aided Debugging,\dbgstyleToolL,Debugging styles / ToolDeb
11,"unprompted ""braindump""",1,0,routine,Ease of verbalization,\easeverb,Braindump,\easeverbBrainDmp,Unprompted ``Braindump'',\easeverbBrainDmpL,Ease of verbalization / Braindump
12,"unprompted ""braindump""",1,0,feature,Ease of verbalization,\easeverb,Braindump,\easeverbBrainDmp,Unprompted ``Braindump'',\easeverbBrainDmpL,Ease of verbalization / Braindump
13,"unprompted ""braindump""",1,0,use-case,Ease of verbalization,\easeverb,Braindump,\easeverbBrainDmp,Unprompted ``Braindump'',\easeverbBrainDmpL,Ease of verbalization / Braindump
14,conservative,1,0,feature,Diverging from routine,\diverg,Cons,\divergCons,Conservative,\divergConsL,Diverging from routine / Cons
15,conservative,1,0,use-case,Diverging from routine,\diverg,Cons,\divergCons,Conservative,\divergConsL,Diverging from routine / Cons
16,ready to assimilate new tools and informations,1,1,use-case,Diverging from routine,\diverg,Ready,\divergReady,Ready to Assimilate New Tools and Information,\divergReadyL,Diverging from routine / Ready
17,static source code,1,0,routine,By IDE,\srcide,Src,\srcideSrc,Static Source Code,\srcideSrcL,By IDE / Src
18,"stdout, stderr and log-files",1,1,routine,By IDE,\srcide,Std,\srcideStd,"stdout, stderr and Log Files",\srcideStdL,By IDE / Std
19,settings and configuration of the IDE or tools,1,2,routine,By IDE,\srcide,Conf,\srcideSets,Settings and Configuration of the IDE or Tools,\srcideSetsL,By IDE / Conf
20,static source code,1,0,feature,By IDE,\srcide,Src,\srcideSrc,Static Source Code,\srcideSrcL,By IDE / Src
21,"stdout, stderr and log-files",1,1,feature,By IDE,\srcide,Std,\srcideStd,"stdout, stderr and Log Files",\srcideStdL,By IDE / Std
22,static structure,1,2,feature,By IDE,\srcide,Struc,\srcideStruc,Static Structure,\srcideStrucL,By IDE / Struc
23,traces,1,3,feature,By IDE,\srcide,Trc,\srcideTrc,Stack Traces,\srcideTrcL,By IDE / Trc
24,test coverage,1,4,feature,By IDE,\srcide,Cover,\srcideCover,Code Coverage,\srcideCoverL,By IDE / Cover
25,iFL,1,5,feature,By IDE,\srcide,iFL,\srcideIfl,iFL Rank Order,\srcideIflL,By IDE / iFL
26,static source code,1,0,use-case,By IDE,\srcide,Src,\srcideSrc,Static Source Code,\srcideSrcL,By IDE / Src
27,static structure,1,1,use-case,By IDE,\srcide,Struc,\srcideStruc,Static Structure,\srcideStrucL,By IDE / Struc
28,"stdout, stderr and log-files",1,2,use-case,By IDE,\srcide,Std,\srcideStd,"stdout, stderr and Log Files",\srcideStdL,By IDE / Std
29,test results,1,3,use-case,By IDE,\srcide,Test,\srcideTest,Test Results,\srcideTestL,By IDE / Test
30,test coverage,1,4,use-case,By IDE,\srcide,Cover,\srcideCover,Code Coverage,\srcideCoverL,By IDE / Cover
31,iFL,1,5,use-case,By IDE,\srcide,iFL,\srcideIfl,iFL Rank Order,\srcideIflL,By IDE / iFL
32,community,1,0,routine,External sources,\srcext,Comm,\srcextComm,Community,\srcextCommL,External sources / Comm
33,community,1,0,use-case,External sources,\srcext,Comm,\srcextComm,Community,\srcextCommL,External sources / Comm
34,information about the related source code,1,0,routine,Information topic,\inftop,RelCode,\inftopRel,Information about Related Source Code,\inftopRelL,Information topic / RelCode
35,special knowledge required for the task,1,1,routine,Information topic,\inftop,SpecKnow,\inftopSpec,Special Knowledge Required for the Task,\inftopSpecL,Information topic / SpecKnow
36,information about the related source code,1,0,feature,Information topic,\inftop,RelCode,\inftopRel,Information about Related Source Code,\inftopRelL,Information topic / RelCode
37,special knowledge required for the task,1,0,use-case,Information topic,\inftop,SpecKnow,\inftopSpec,Special Knowledge Required for the Task,\inftopSpecL,Information topic / SpecKnow
38,a priori usage,1,0,routine,Utilization,\infuse,APrio,\infuseAPrio,A Priori Usage,\infuseAPrioL,Utilization / APrio
39,a priori usage,1,0,feature,Utilization,\infuse,APrio,\infuseAPrio,A Priori Usage,\infuseAPrioL,Utilization / APrio
40,a priori usage,1,0,use-case,Utilization,\infuse,APrio,\infuseAPrio,A Priori Usage,\infuseAPrioL,Utilization / APrio
41,integrated usage,1,1,use-case,Utilization,\infuse,Integ,\infuseInt,Integrated Usage,\infuseIntL,Utilization / Integ
42,Drill Up from the Problem to the Bug,2,0,routine,Debugging strategies,\dbgstrat,DrillUp,\dbgstratDrillup,Drill Up from the Problem to the Bug,\dbgstratDrillupL,Debugging strategies / DrillUp
43,Drill Up from the Problem to the Bug,2,0,feature,Debugging strategies,\dbgstrat,DrillUp,\dbgstratDrillup,Drill Up from the Problem to the Bug,\dbgstratDrillupL,Debugging strategies / DrillUp
44,Drill Up from the Problem to the Bug,2,0,use-case,Debugging strategies,\dbgstrat,DrillUp,\dbgstratDrillup,Drill Up from the Problem to the Bug,\dbgstratDrillupL,Debugging strategies / DrillUp
45,manual debugging,2,0,routine,Debugging styles,\dbgstyle,ManDeb,\dbgstyleMan,Manual Debugging,\dbgstyleManL,Debugging styles / ManDeb
46,interactive debugging,2,1,routine,Debugging styles,\dbgstyle,IntDeb,\dbgstyleInt,Interactive Debugging,\dbgstyleIntL,Debugging styles / IntDeb
47,socially-aided debugging,2,2,routine,Debugging styles,\dbgstyle,SocDeb,\dbgstyleSoc,Socially-Aided Debugging,\dbgstyleSocL,Debugging styles / SocDeb
48,interactive debugging,2,0,feature,Debugging styles,\dbgstyle,IntDeb,\dbgstyleInt,Interactive Debugging,\dbgstyleIntL,Debugging styles / IntDeb
49,manual debugging,2,1,feature,Debugging styles,\dbgstyle,ManDeb,\dbgstyleMan,Manual Debugging,\dbgstyleManL,Debugging styles / ManDeb
50,tool-aided debugging,2,2,feature,Debugging styles,\dbgstyle,ToolDeb,\dbgstyleTool,Tool-Aided Debugging,\dbgstyleToolL,Debugging styles / ToolDeb
51,interactive debugging,2,0,use-case,Debugging styles,\dbgstyle,IntDeb,\dbgstyleInt,Interactive Debugging,\dbgstyleIntL,Debugging styles / IntDeb
52,tool-aided debugging,2,1,use-case,Debugging styles,\dbgstyle,ToolDeb,\dbgstyleTool,Tool-Aided Debugging,\dbgstyleToolL,Debugging styles / ToolDeb
53,inaccessible processes,2,0,routine,Ease of verbalization,\easeverb,InacProc,\easeverbInacc,Inaccessible Processes,\easeverbInaccL,Ease of verbalization / InacProc
54,inaccessible processes,2,0,feature,Ease of verbalization,\easeverb,InacProc,\easeverbInacc,Inaccessible Processes,\easeverbInaccL,Ease of verbalization / InacProc
55,inaccessible processes,2,0,use-case,Ease of verbalization,\easeverb,InacProc,\easeverbInacc,Inaccessible Processes,\easeverbInaccL,Ease of verbalization / InacProc
56,conservative,2,0,feature,Diverging from routine,\diverg,Cons,\divergCons,Conservative,\divergConsL,Diverging from routine / Cons
57,ready to assimilate new tools and informations,2,1,feature,Diverging from routine,\diverg,Ready,\divergReady,Ready to Assimilate New Tools and Information,\divergReadyL,Diverging from routine / Ready
58,conservative,2,0,use-case,Diverging from routine,\diverg,Cons,\divergCons,Conservative,\divergConsL,Diverging from routine / Cons
59,ready to assimilate new tools and informations,2,1,use-case,Diverging from routine,\diverg,Ready,\divergReady,Ready to Assimilate New Tools and Information,\divergReadyL,Diverging from routine / Ready
60,static source code,2,0,routine,By IDE,\srcide,Src,\srcideSrc,Static Source Code,\srcideSrcL,By IDE / Src
61,test results,2,1,routine,By IDE,\srcide,Test,\srcideTest,Test Results,\srcideTestL,By IDE / Test
62,traces,2,2,routine,By IDE,\srcide,Trc,\srcideTrc,Stack Traces,\srcideTrcL,By IDE / Trc
63,"stdout, stderr and log-files",2,3,routine,By IDE,\srcide,Std,\srcideStd,"stdout, stderr and Log Files",\srcideStdL,By IDE / Std
64,static source code,2,0,feature,By IDE,\srcide,Src,\srcideSrc,Static Source Code,\srcideSrcL,By IDE / Src
65,test results,2,1,feature,By IDE,\srcide,Test,\srcideTest,Test Results,\srcideTestL,By IDE / Test
66,traces,2,2,feature,By IDE,\srcide,Trc,\srcideTrc,Stack Traces,\srcideTrcL,By IDE / Trc
67,static source code,2,0,use-case,By IDE,\srcide,Src,\srcideSrc,Static Source Code,\srcideSrcL,By IDE / Src
68,test results,2,1,use-case,By IDE,\srcide,Test,\srcideTest,Test Results,\srcideTestL,By IDE / Test
