,aspect name,aspect command,short category name,short category command,long category name,long category command,legacy category name
0,Debugging strategies,\dbgstrat,DrillUp,\dbgstratDrillup,Drill Up from the Problem to the Bug,\dbgstratDrillupL,Drill Up from the Problem to the Bug
1,Debugging strategies,\dbgstrat,DrillDn,\dbgstratDrilldn,Down from the Program's Start to the Bug,\dbgstratDrilldnL,Down from the Program's Start to the Bug
2,Debugging strategies,\dbgstrat,DiffGood,\dbgstratDiffGood,Find the Difference between a Known Good System and a Failing One,\dbgstratDiffGoodL,Find the Difference between a Known Good System and a Failing One
3,Debugging strategies,\dbgstrat,AddDbg,\dbgstratAddDbg,Add Debugging Functionality,\dbgstratAddDbgL,Add Debugging Functionality
4,Debugging strategies,\dbgstrat,AddLog,\dbgstratAddLog,Add Logging Statements,\dbgstratAddLogL,Add Logging Statements
5,Debugging strategies,\dbgstrat,MinDiff,\dbgstratMinDiff,Minimize the Differences between a Working Example and the Failing Code,\dbgstratMinDiffL,Minimize the Differences between a Working Example and the Failing Code
6,Debugging strategies,\dbgstrat,Refact,\dbgstratRefact,Refactoring during debugging,\dbgstratRefactL,Refactoring during debugging
7,Debugging styles,\dbgstyle,ManDeb,\dbgstyleMan,Manual Debugging,\dbgstyleManL,manual debugging
8,Debugging styles,\dbgstyle,IntDeb,\dbgstyleInt,Interactive Debugging,\dbgstyleIntL,interactive debugging
9,Debugging styles,\dbgstyle,ToolDeb,\dbgstyleTool,Tool-Aided Debugging,\dbgstyleToolL,tool-aided debugging
10,Debugging styles,\dbgstyle,SocDeb,\dbgstyleSoc,Socially-Aided Debugging,\dbgstyleSocL,socially-aided debugging
11,Ease of verbalization,\easeverb,Braindump,\easeverbBrainDmp,Unprompted ``Braindump'',\easeverbBrainDmpL,"unprompted ""braindump"""
12,Ease of verbalization,\easeverb,InacProc,\easeverbInacc,Inaccessible Processes,\easeverbInaccL,inaccessible processes
13,Ease of verbalization,\easeverb,General,\easeverbGener,Generalization and Second-Hand Information,\easeverbGenerL,generalization and second-hand information
14,Diverging from routine,\diverg,Ready,\divergReady,Ready to Assimilate New Tools and Information,\divergReadyL,ready to assimilate new tools and informations
15,Diverging from routine,\diverg,Cons,\divergCons,Conservative,\divergConsL,conservative
16,Diverging from routine,\diverg,Conf,\divergConf,Conformist,\divergConfL,conformist
17,By IDE,\srcide,Src,\srcideSrc,Static Source Code,\srcideSrcL,static source code
18,By IDE,\srcide,Struc,\srcideStruc,Static Structure,\srcideStrucL,static structure
19,By IDE,\srcide,Std,\srcideStd,"stdout, stderr and Log Files",\srcideStdL,"stdout, stderr and log-files"
20,By IDE,\srcide,Trc,\srcideTrc,Stack Traces,\srcideTrcL,traces
21,By IDE,\srcide,Cover,\srcideCover,Code Coverage,\srcideCoverL,test coverage
22,By IDE,\srcide,Test,\srcideTest,Test Results,\srcideTestL,test results
23,By IDE,\srcide,Order,\srcideOrder,Ordered Lists,\srcideOrderL,ranks
24,By IDE,\srcide,iFL,\srcideIfl,iFL Rank Order,\srcideIflL,iFL
25,By IDE,\srcide,Conf,\srcideSets,Settings and Configuration of the IDE or Tools,\srcideSetsL,settings and configuration of the IDE or tools
26,External sources,\srcext,Pers,\srcextPers,Personal Connection,\srcextPersL,personal connection
27,External sources,\srcext,Comm,\srcextComm,Community,\srcextCommL,community
28,External sources,\srcext,Offic,\srcextOff,Official Sources,\srcextOffL,official
29,External sources,\srcext,Exp,\srcextExp,This Experiment,\srcextExpL,experiment
30,Information topic,\inftop,CommKnow,\inftopComm,Common Knowledge about Software Engineering,\inftopCommL,common knowledge about software engineering
31,Information topic,\inftop,UG,\inftopUG,User's Guide,\inftopUGL,user guide
32,Information topic,\inftop,SpecKnow,\inftopSpec,Special Knowledge Required for the Task,\inftopSpecL,special knowledge required for the task
33,Information topic,\inftop,RelCode,\inftopRel,Information about Related Source Code,\inftopRelL,information about the related source code
34,Utilization,\infuse,Ign,\infuseIgn,Ignoring,\infuseIgnL,ignored
35,Utilization,\infuse,Usels,\infuseUsels,Consider Useless,\infuseUselsL,consider useless
36,Utilization,\infuse,Furth,\infuseFurth,Need Further Information or Feature,\infuseFurthL,need further information or feature
37,Utilization,\infuse,Integ,\infuseInt,Integrated Usage,\infuseIntL,integrated usage
38,Utilization,\infuse,APrio,\infuseAPrio,A Priori Usage,\infuseAPrioL,a priori usage
