id;tool;sentiment
ECLEMMA;NEGATIVE;Hosszú ideig vizsgáltad a $(teszt) tesztet hogy megállapítsd mely részét érinti a kódnak. Tegyük fel, hogy lefuttatod a lefedettség mérést az adott tesztre, amely sok metódust érint, így nehezebben azonosítod a kód mely részére kell fókuszálj.
ECLEMMA;POSITIVE;Hosszú ideig vizsgáltad a $(teszt) tesztet hogy megállapítsd mely részét érinti a kódnak. Tegyük fel, hogy lefuttatod a lefedettség mérést az adott tesztre, amely néhány metódust érint, így könnyebben azonosítod a kód mely részére kell fókuszálj.
ECLEMMA;NEGATIVE;Tegyük fel, hogy lefuttatod a lefedettség mérést az adott tesztre, amely sok metódust érint, így nehezebben azonosítod a kód mely részére kell fókuszálj. A kézzel való átnézés után kiderül, hogy a keresett $(kódrészlet) közvetlenül a $(metódus) elején volt, így egy rövid átolvasással is könnyen megtaláltad volna.
ECLEMMA;NATURAL;Tegyük fel, hogy lefuttatod a lefedettség mérést az adott tesztre, amely néhány metódust érint, így könnyen azonosítod a kód mely részére kell fókuszálj. Azonban kézzel való átnézés után kiderül, hogy a keresett $(kódrészlet) közvetlenül a $(metódus) elején volt, így egy rövid átolvasással is könnyen megtaláltad volna.
ECLEMMA;NEGATIVE;A $(teszt) teszt vizsgálata során szeretnél futtatni egy lefedettség mérést, de a mérő eszköz nem működik, így a kódot böngészve vizsgálod a(z) $(metódus/osztály) metódust/osztályt.
ECLEMMA;NEGATIVE;A $(teszt) teszt vizsgálata során szeretnél futtatni egy lefedettség mérést, de a mérő eszköz nem működik, így debug módban lépkedve vizsgálod a(z) $(metódus/osztály neve) metódust/osztályt.
ATLAS;POSITIVE;A $(metódus neve) metóduson belül megváltoztatod a(z) $(változó neve) változó/adattag számítási módszerét, de további tesztek is elbuknak, így megvizsgálod az adatfolyam gráf $(változó neve) változóra vonatkozó részét.;StopWatch stopTime
ATLAS;POSITIVE;A $(metódus neve) metóduson belül megváltoztatod a(z) $(változó neve) változó/adattag számítási módszerét, de további tesztek is elbuknak, így a hívási gráf segítségével megvizsgálod, hogy mely tesztek hívják még az adott metódust.
ATLAS;POSITIVE;A $(metódus neve) metódust megváltoztatod, a $(metódus neve) metódus hívását hozzáadod, de további tesztek is elbuknak, így megvizsgálod az hívási gráf $(metódus neve) metódusra vonatkozó részét.
ATLAS;POSITIVE;A $(metódus neve) metódust megváltoztatod, a $(metódus neve) metódus hívását törlöd, de további tesztek is elbuknak, így megvizsgálod az hívási gráf $(metódus neve) metódusra vonatkozó részét.
ATLAS;POSITIVE;Módosítasz egy elágazást/ciklust a $(metódus neve) metódusban, de most a $(teszt) egy másik assert-je ($(assert lényege röviden)) fail-el, így megvizsgálod a vezérlési folyam gráfot.
ATLAS;POSITIVE;Törölsz egy elágazást/ciklust a $(metódus neve) metódusban, de most a $(teszt) egy másik assert-je ($(assert lényege röviden)) fail-el, így megvizsgálod a vezérlési folyam gráfot.
ATLAS;POSITIVE;Beszúrsz egy elágazást/ciklust a $(metódus neve) metódusban, de most a $(teszt) egy másik assert-je ($(assert lényege röviden)) fail-el, így megvizsgálod a vezérlési folyam gráfot.
IFL;NEGATIVE;A metódusok score szerint csökkenő sorrendbe vannak rendezve és a $(metódus) metódust az első helyen találod a listában. Tegyük fel, hogy megvizsgálod az adott metódust és úgy ítéled, hogy nem hibás, így nullázod a score-ját később kiderül, hogy mégis hibás volt.
IFL;NEGATIVE;A metódusok score szerint csökkenő sorrendbe vannak rendezve és a $(metódus) metódust az első helyen találod a listában. Tegyük fel, hogy megvizsgálod az adott metódust és úgy ítéled, hogy valószínűleg nem hibás, így csökkented a score-ját később kiderül, hogy mégis hibás volt.
