,name,type,refs
0,IEEE Access,ForumType.JOURNAL,"['ref:doi:10.1109/access.2021.3086878', 'ref:doi:10.1109/ACCESS.2017.2758521']"
1,"Journal of Circuits, Systems and Computers",ForumType.JOURNAL,['ref:doi:10.1142/S0218126621500535']
2,IEICE Transactions on Information and Systems,ForumType.JOURNAL,"['ref:doi:10.1587/transinf.2019EDP7152', 'ref:doi:10.1587/transinf.2020MPP0007']"
3,Journal of Systems and Software,ForumType.JOURNAL,"['ref:doi:10.1016/j.jss.2021.110967', 'ref:doi:10.1016/j.jss.2020.110861', 'ref:doi:10.1016/j.jss.2020.110538', 'ref:doi:10.1016/j.jss.2020.110667', 'ref:doi:10.1016/j.jss.2021.110961']"
4,IEEE Transactions on Software Engineering,ForumType.JOURNAL,"['ref:doi:10.1109/tse.2019.2911283', 'ref:doi:10.1109/TSE.2019.2892102']"
5,Universal Access in the Information Society,ForumType.JOURNAL,['ref:doi:10.1007/s10209-018-0610-z']
6,ACM Transactions on Interactive Intelligent Systems,ForumType.JOURNAL,['ref:doi:10.1145/3385732']
7,Education and Information Technologies,ForumType.JOURNAL,['ref:doi:10.1007/s10639-018-9698-2']
8,International Journal of Human-Computer Interaction,ForumType.JOURNAL,['ref:doi:10.1080/10447318.2020.1809152']
9,ACM Transactions on Computer-Human Interaction,ForumType.JOURNAL,['ref:doi:10.1145/3325281']
10,Automated Software Engineering,ForumType.JOURNAL,['ref:doi:10.1007/s10515-020-00279-2']
11,CoRR,ForumType.JOURNAL,"['ref:doi:nan', 'ref:doi:nan', 'ref:doi:nan', 'ref:doi:nan', 'ref:doi:nan', 'ref:doi:nan', 'ref:doi:nan']"
12,IEEE Transactions on Computers,ForumType.JOURNAL,['ref:doi:10.1109/TC.2006.22']
13,British Journal of Educational Technology,ForumType.JOURNAL,['ref:doi:10.1111/bjet.13079']
14,ACM Transactions on Programming Languages and Systems,ForumType.JOURNAL,['ref:doi:10.1145/3379446']
15,Empirical Software Engineering,ForumType.JOURNAL,['ref:doi:10.1007/s10664-020-09893-w']
16,Information and Software Technology,ForumType.JOURNAL,"['ref:doi:10.1016/j.infsof.2021.106543', 'ref:doi:10.1016/j.infsof.2021.106584', 'ref:doi:10.1016/j.infsof.2019.106234', 'ref:doi:10.1016/j.infsof.2021.106512']"
17,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,ForumType.JOURNAL,['ref:doi:10.1109/TCAD.2020.3011039']
18,Frontiers of Computer Science,ForumType.JOURNAL,['ref:doi:10.1007/s11704-020-9263-1']
19,Computer,ForumType.JOURNAL,"['ref:doi:10.1109/MC.2019.2957845', 'ref:doi:10.1109/MC.2020.2984507']"
20,Sensors (Switzerland),ForumType.JOURNAL,['ref:doi:10.3390/s20102750']
21,Journal of Software: Evolution and Process,ForumType.JOURNAL,['ref:doi:10.1002/smr.2312']
22,Interacting with Computers,ForumType.JOURNAL,['ref:doi:10.1093/iwc/iwv014']
23,International Journal of Software Engineering and Knowledge Engineering,ForumType.JOURNAL,['ref:doi:10.1142/S0218194021500212']
24,Science of Computer Programming,ForumType.JOURNAL,['ref:doi:10.1016/j.scico.2021.102630']
