,paper id,author id,name
0,conf/kbse/BentonLLZ20,242/3931,Samuel Benton
1,conf/kbse/BentonLLZ20,97/30,Xia Li
2,conf/kbse/BentonLLZ20,174/3394,Yiling Lou
3,conf/kbse/BentonLLZ20,27/7057,Lingming Zhang
4,conf/kbse/CaoWYYF20,282/6312,Zhenfei Cao
5,conf/kbse/CaoWYYF20,181/2815,Xu Wang
6,conf/kbse/CaoWYYF20,243/7123,Shengcheng Yu
7,conf/kbse/CaoWYYF20,272/5267,Yexiao Yun
8,conf/kbse/CaoWYYF20,124/0310,Chunrong Fang
9,conf/kbse/CaoYJZSZ20,246/8122,Junming Cao
10,conf/kbse/CaoYJZSZ20,01/7780,Shouliang Yang
11,conf/kbse/CaoYJZSZ20,179/1020,Wenhui Jiang
12,conf/kbse/CaoYJZSZ20,282/5945,Hushuang Zeng
13,conf/kbse/CaoYJZSZ20,83/2622,Beijun Shen
14,conf/kbse/CaoYJZSZ20,06/5514,Hao Zhong
15,conf/kbse/ChenCSZP20,95/5771,Zehua Chen
16,conf/kbse/ChenCSZP20,02/4907,Zhenbang Chen
17,conf/kbse/ChenCSZP20,241/0945,Ziqi Shuai
18,conf/kbse/ChenCSZP20,17/1651-1,Yufeng Zhang 0001
19,conf/kbse/ChenCSZP20,272/2396,Weiyu Pan
20,conf/kbse/ChenMZ20,04/4498-3,Junjie Chen 0003
21,conf/kbse/ChenMZ20,247/3354,Haoyang Ma
22,conf/kbse/ChenMZ20,27/7057,Lingming Zhang
23,conf/kbse/ChenXYJCX20,257/0002,Songqiang Chen
24,conf/kbse/ChenXYJCX20,52/2991,Xiaoyuan Xie
25,conf/kbse/ChenXYJCX20,257/0029,Bangguo Yin
26,conf/kbse/ChenXYJCX20,24/10027,Yuanxiang Ji
27,conf/kbse/ChenXYJCX20,13/3479-15,Lin Chen 0015
28,conf/kbse/ChenXYJCX20,46/5742,Baowen Xu
29,conf/kbse/EghbaliP20,220/3069,Aryaz Eghbali
30,conf/kbse/EghbaliP20,25/2188,Michael Pradel
31,conf/kbse/FerreiraCDA20,f/JoaoFFerreira,João F. Ferreira
32,conf/kbse/FerreiraCDA20,30/2478,Pedro Cruz
33,conf/kbse/FerreiraCDA20,163/2121,Thomas Durieux
34,conf/kbse/FerreiraCDA20,00/6243,Rui Abreu 0001
35,conf/kbse/HeJLXYYWL20,141/6073,Haochen He
36,conf/kbse/HeJLXYYWL20,162/7150,Zhouyang Jia
37,conf/kbse/HeJLXYYWL20,66/5479,Shanshan Li
38,conf/kbse/HeJLXYYWL20,83/10695,Erci Xu
39,conf/kbse/HeJLXYYWL20,51/8403,Tingting Yu
40,conf/kbse/HeJLXYYWL20,55/2008,Yue Yu
41,conf/kbse/HeJLXYYWL20,64/856,Ji Wang
42,conf/kbse/HeJLXYYWL20,22/562,Xiangke Liao
43,conf/kbse/Perera20,282/6291,Anjana Perera
44,conf/kbse/ZhangZCSW20,76/4971,Tianqi Zhang
45,conf/kbse/ZhangZCSW20,17/1651-1,Yufeng Zhang 0001
46,conf/kbse/ZhangZCSW20,02/4907,Zhenbang Chen
47,conf/kbse/ZhangZCSW20,241/0945,Ziqi Shuai
48,conf/kbse/ZhangZCSW20,64/856-1,Ji Wang 0001
49,conf/kbse/0002TP19,27/3809-2,Bernd Fischer 0002
50,conf/kbse/0002TP19,33/5041,Salvatore La Torre
51,conf/kbse/0002TP19,11/1029,Gennaro Parlato
52,conf/kbse/ChenD0Q19,190/1168,Haicheng Chen
53,conf/kbse/ChenD0Q19,167/8963,Wensheng Dou
54,conf/kbse/ChenD0Q19,08/8179-1,Yanyan Jiang 0001
55,conf/kbse/ChenD0Q19,31/3488,Feng Qin
56,conf/kbse/ChenJML19,193/7174,Boyuan Chen
57,conf/kbse/ChenJML19,50/23,Zhen Ming Jiang
58,conf/kbse/ChenJML19,256/6218,Paul Matos
59,conf/kbse/ChenJML19,256/6223,Michael Lacaria
60,conf/kbse/ChenSHWL19,54/4698-2,Jinfu Chen 0002
61,conf/kbse/ChenSHWL19,96/7305,Weiyi Shang
62,conf/kbse/ChenSHWL19,h/AhmedEHassan,Ahmed E. Hassan
63,conf/kbse/ChenSHWL19,84/2694,Yong Wang
64,conf/kbse/ChenSHWL19,193/7776,Jiangbin Lin
65,conf/kbse/JiaLYLWLL19,162/7150,Zhouyang Jia
66,conf/kbse/JiaLYLWLL19,66/5479,Shanshan Li
67,conf/kbse/JiaLYLWLL19,51/8403,Tingting Yu
68,conf/kbse/JiaLYLWLL19,22/562,Xiangke Liao
69,conf/kbse/JiaLYLWLL19,64/856,Ji Wang
70,conf/kbse/JiaLYLWLL19,65/622,Xiaodong Liu
71,conf/kbse/JiaLYLWLL19,38/559,Yunhuai Liu
72,conf/kbse/JiangWXCZ19,155/6527,Jiajun Jiang
73,conf/kbse/JiangWXCZ19,12/6277,Ran Wang
74,conf/kbse/JiangWXCZ19,82/2673,Yingfei Xiong 0001
75,conf/kbse/JiangWXCZ19,45/2913,Xiangping Chen
76,conf/kbse/JiangWXCZ19,z/LuZhang1,Lu Zhang 0023
77,conf/kbse/RahatFT19,219/5724,Tamjid Al Rahat
78,conf/kbse/RahatFT19,30/4550,Yu Feng
79,conf/kbse/RahatFT19,39/5423-1,Yuan Tian 0001
80,conf/kbse/StepanovAB19,249/2250,Daniil Stepanov
81,conf/kbse/StepanovAB19,140/9107,Marat Akhin
82,conf/kbse/StepanovAB19,157/8568,Mikhail A. Belyaev
83,conf/kbse/Wu0C19,148/2428,ZhiWei Wu
84,conf/kbse/Wu0C19,72/2590-12,Jing Liu 0012
85,conf/kbse/Wu0C19,64/3062,Xiang Chen
86,conf/kbse/Yu19a,243/7123,Shengcheng Yu
87,conf/kbse/Arora0IKR18,36/2861,Nipun Arora
88,conf/kbse/Arora0IKR18,84/1826-1,Jonathan Bell 0001
89,conf/kbse/Arora0IKR18,i/FranjoIvancic,Franjo Ivancic
90,conf/kbse/Arora0IKR18,k/GailEKaiser,Gail E. Kaiser
91,conf/kbse/Arora0IKR18,74/1969,Baishakhi Ray
92,conf/kbse/GafurovHM18,42/925,Davrondzhon Gafurov
93,conf/kbse/GafurovHM18,225/0312,Arne Erik Hurum
94,conf/kbse/GafurovHM18,225/0240,Martin Markman
95,conf/kbse/HabibP18a,123/4524,Andrew Habib
96,conf/kbse/HabibP18a,25/2188,Michael Pradel
97,conf/kbse/HanYL18,17/6400,Xue Han
98,conf/kbse/HanYL18,51/8403,Tingting Yu
99,conf/kbse/HanYL18,89/6793-1,David Lo 0001
100,conf/kbse/HuWLCH18,03/8513,Jiajun Hu
101,conf/kbse/HuWLCH18,47/5973,Lili Wei
102,conf/kbse/HuWLCH18,125/1824,Yepang Liu 0001
103,conf/kbse/HuWLCH18,c/SCCheung,Shing-Chi Cheung
104,conf/kbse/HuWLCH18,225/0242,Huaxun Huang
105,conf/kbse/LemieuxS18,167/0227,Caroline Lemieux
106,conf/kbse/LemieuxS18,04/418,Koushik Sen
107,conf/kbse/Lin0TBWD18,77/1513-1,Yun Lin 0001
108,conf/kbse/Lin0TBWD18,s/JunSun1,Jun Sun 0001
109,conf/kbse/Lin0TBWD18,225/0246,Lyly Tran
110,conf/kbse/Lin0TBWD18,86/9673,Guangdong Bai
111,conf/kbse/Lin0TBWD18,46/1165,Haijun Wang
112,conf/kbse/Lin0TBWD18,33/6517,Jin Song Dong
113,conf/kbse/LinWLSZW18,225/0247,Huarui Lin
114,conf/kbse/LinWLSZW18,71/7089,Zan Wang
115,conf/kbse/LinWLSZW18,58/6609-7,Shuang Liu 0007
116,conf/kbse/LinWLSZW18,s/JunSun1,Jun Sun 0001
117,conf/kbse/LinWLSZW18,225/0304,Dongdi Zhang
118,conf/kbse/LinWLSZW18,225/0372,Guangning Wei
119,conf/kbse/TufanoWBPWP18,166/4957,Michele Tufano
120,conf/kbse/TufanoWBPWP18,201/7334,Cody Watson
121,conf/kbse/TufanoWBPWP18,09/8523,Gabriele Bavota
122,conf/kbse/TufanoWBPWP18,d/MassimilianoDiPenta,Massimiliano Di Penta
123,conf/kbse/TufanoWBPWP18,56/1682,Martin White
124,conf/kbse/TufanoWBPWP18,02/320,Denys Poshyvanyk
125,conf/kbse/ZhouPX0LJD18,65/5138,Xiang Zhou
126,conf/kbse/ZhouPX0LJD18,14/6370-1,Xin Peng 0001
127,conf/kbse/ZhouPX0LJD18,181/2328,Tao Xie
