,paper id,doi,title,year,forum,forum id
0,conf/kbse/BentonLLZ20,10.1145/3324884.3416566,On the Effectiveness of Unified Debugging - An Extensive Study on 16 Program Repair Systems.,2020,ASE,conf/kbse
1,conf/kbse/CaoWYYF20,10.1145/3324884.3415300,STIFA - Crowdsourced Mobile Testing Report Selection Based on Text and Image Fusion Analysis.,2020,ASE,conf/kbse
2,conf/kbse/CaoYJZSZ20,10.1145/3324884.3418934,BugPecker - Locating Faulty Methods with Deep Learning on Revision Graphs.,2020,ASE,conf/kbse
3,conf/kbse/ChenCSZP20,10.1145/3324884.3418904,Synthesizing Smart Solving Strategy for Symbolic Execution.,2020,ASE,conf/kbse
4,conf/kbse/ChenMZ20,10.1145/3324884.3416570,Enhanced Compiler Bug Isolation via Memoized Search.,2020,ASE,conf/kbse
5,conf/kbse/ChenXYJCX20,10.1145/3324884.3416538,Stay Professional and Efficient - Automatically Generate Titles for Your Bug Reports.,2020,ASE,conf/kbse
6,conf/kbse/EghbaliP20,10.1145/3324884.3416576,No Strings Attached - An Empirical Study of String-related Software Bugs.,2020,ASE,conf/kbse
7,conf/kbse/FerreiraCDA20,10.1145/3324884.3415298,SmartBugs - A Framework to Analyze Solidity Smart Contracts.,2020,ASE,conf/kbse
8,conf/kbse/HeJLXYYWL20,10.1145/3324884.3416531,CP-Detector - Using Configuration-related Performance Properties to Expose Performance Bugs.,2020,ASE,conf/kbse
9,conf/kbse/Perera20,10.1145/3324884.3415286,Using Defect Prediction to Improve the Bug Detection Capability of Search-Based Software Testing.,2020,ASE,conf/kbse
10,conf/kbse/ZhangZCSW20,10.1145/3324884.3418902,Efficient Multiplex Symbolic Execution with Adaptive Search Strategy.,2020,ASE,conf/kbse
11,conf/kbse/0002TP19,10.1109/ASE.2019.00124,VeriSmart 2.0 - Swarm-Based Bug-Finding for Multi-threaded Programs with Lazy-CSeq.,2019,ASE,conf/kbse
12,conf/kbse/ChenD0Q19,10.1109/ASE.2019.00040,Understanding Exception-Related Bugs in Large-Scale Cloud Systems.,2019,ASE,conf/kbse
13,conf/kbse/ChenJML19,10.1109/ASE.2019.00066,An Industrial Experience Report on Performance-Aware Refactoring on a Database-Centric Web Application.,2019,ASE,conf/kbse
14,conf/kbse/ChenSHWL19,10.1109/ASE.2019.00068,An Experience Report of Generating Load Tests Using Log-Recovered Workloads at Varying Granularities of User Behaviour.,2019,ASE,conf/kbse
15,conf/kbse/JiaLYLWLL19,10.1109/ASE.2019.00029,Detecting Error-Handling Bugs without Error Specification Input.,2019,ASE,conf/kbse
16,conf/kbse/JiangWXCZ19,10.1109/ASE.2019.00054,Combining Spectrum-Based Fault Localization and Statistical Debugging - An Empirical Study.,2019,ASE,conf/kbse
17,conf/kbse/RahatFT19,10.1109/ASE.2019.00036,OAUTHLINT - An Empirical Study on OAuth Bugs in Android Applications.,2019,ASE,conf/kbse
18,conf/kbse/StepanovAB19,10.1109/ASE.2019.00038,ReduKtor - How We Stopped Worrying About Bugs in Kotlin Compiler.,2019,ASE,conf/kbse
19,conf/kbse/Wu0C19,10.1109/ASE.2019.00143,Better Development of Safety Critical Systems - Chinese High Speed Railway System Development Experience Report.,2019,ASE,conf/kbse
20,conf/kbse/Yu19a,10.1109/ASE.2019.00161,Crowdsourced Report Generation via Bug Screenshot Understanding.,2019,ASE,conf/kbse
21,conf/kbse/Arora0IKR18,10.1145/3238147.3238186,Replay without recording of production bugs for service oriented applications.,2018,ASE,conf/kbse
22,conf/kbse/GafurovHM18,10.1145/3238147.3240463,Achieving test automation with testers without coding skills - an industrial report.,2018,ASE,conf/kbse
23,conf/kbse/HabibP18a,10.1145/3238147.3238213,How many of all bugs do we find? a study of static bug detectors.,2018,ASE,conf/kbse
24,conf/kbse/HanYL18,10.1145/3238147.3238204,PerfLearner - learning from bug reports to understand and generate performance test frames.,2018,ASE,conf/kbse
25,conf/kbse/HuWLCH18,10.1145/3238147.3238180,A tale of two cities - how WebView induces bugs to Android applications.,2018,ASE,conf/kbse
26,conf/kbse/LemieuxS18,10.1145/3238147.3238176,FairFuzz - a targeted mutation strategy for increasing greybox fuzz testing coverage.,2018,ASE,conf/kbse
27,conf/kbse/Lin0TBWD18,10.1145/3238147.3238163,Break the dead end of dynamic slicing - localizing data and control omission bug.,2018,ASE,conf/kbse
28,conf/kbse/LinWLSZW18,10.1145/3238147.3238198,PFix - fixing concurrency bugs based on memory access patterns.,2018,ASE,conf/kbse
29,conf/kbse/TufanoWBPWP18,10.1145/3238147.3240732,An empirical investigation into learning bug-fixing patches in the wild via neural machine translation.,2018,ASE,conf/kbse
30,conf/kbse/ZhouPX0LJD18,10.1145/3238147.3240730,Delta debugging microservice systems.,2018,ASE,conf/kbse
31,conf/kbse/CastanoBGU17,10.1109/ASE.2017.8115633,Model checker execution reports.,2017,ASE,conf/kbse
32,conf/kbse/FrancoGR17,10.1109/ASE.2017.8115662,A comprehensive study of real-world numerical bug characteristics.,2017,ASE,conf/kbse
33,conf/kbse/NguyenS0TP17,10.1109/ASE.2017.8115686,Parallel bug-finding in concurrent programs via reduced interleaving instances.,2017,ASE,conf/kbse
34,conf/kbse/Wang17,10.1109/ASE.2017.8115720,Characterizing and taming non-deterministic bugs in JavaScript applications.,2017,ASE,conf/kbse
