,paper id,doi,title,year,forum,forum id,mendeley keywords,publication ids,mendeley id
0,conf/kbse/BentonLLZ20,10.1145/3324884.3416566,On the Effectiveness of Unified Debugging - An Extensive Study on 16 Program Repair Systems.,2020,ASE,conf/kbse,"('Fault localization', 'Program repair', 'Unified debugging')","(('pui', '633912062'), ('scopus', '2-s2.0-85099220116'), ('isbn', '9781450367684'), ('doi', '10.1145/3324884.3416566'), ('sgr', '85099220116'))",b46e3149-e0cb-33a2-8fdc-a7612583ba27
1,conf/kbse/CaoWYYF20,10.1145/3324884.3415300,STIFA - Crowdsourced Mobile Testing Report Selection Based on Text and Image Fusion Analysis.,2020,ASE,conf/kbse,"('Cluster Analysis', 'Crowdsourced Mobile Testing', 'Image Understanding', 'Test Report Selection', 'Text Analysis')","(('sgr', '85099258586'), ('isbn', '9781450367684'), ('doi', '10.1145/3324884.3415300'), ('pui', '633912175'), ('scopus', '2-s2.0-85099258586'))",7b355cd0-2286-30b5-8ab0-11eb5020bd92
2,conf/kbse/CaoYJZSZ20,10.1145/3324884.3418934,BugPecker - Locating Faulty Methods with Deep Learning on Revision Graphs.,2020,ASE,conf/kbse,"('bug localization', 'deep learning', 'revision graph')","(('isbn', '9781450367684'), ('sgr', '85099240542'), ('doi', '10.1145/3324884.3418934'), ('pui', '633912074'), ('scopus', '2-s2.0-85099240542'))",94177534-cf7f-32b2-bde6-342262e52aeb
3,conf/kbse/ChenCSZP20,10.1145/3324884.3418904,Synthesizing Smart Solving Strategy for Symbolic Execution.,2020,ASE,conf/kbse,"('SMT Solving Strategy', 'Symbolic Execution', 'Synthesis')","(('isbn', '9781450367684'), ('sgr', '85099206101'), ('doi', '10.1145/3324884.3418904'), ('pui', '633912102'), ('scopus', '2-s2.0-85099206101'))",633766d0-6e4b-377b-8a3a-c08feab99e59
4,conf/kbse/ChenMZ20,10.1145/3324884.3416570,Enhanced Compiler Bug Isolation via Memoized Search.,2020,ASE,conf/kbse,"('Compiler Bug Isolation', 'Fault Localization', 'Reinforcement Learning')","(('isbn', '9781450367684'), ('sgr', '85097135763'), ('doi', '10.1145/3324884.3416570'), ('pui', '633912189'), ('scopus', '2-s2.0-85097135763'))",0d2d00fb-07d7-3af5-8c80-096522e5c593
5,conf/kbse/ChenXYJCX20,10.1145/3324884.3416538,Stay Professional and Efficient - Automatically Generate Titles for Your Bug Reports.,2020,ASE,conf/kbse,"('bug report quality', 'issue title generation', 'low-frequency token handling', 'one-sentence summarization')","(('pui', '633912105'), ('scopus', '2-s2.0-85099180545'), ('isbn', '9781450367684'), ('doi', '10.1145/3324884.3416538'), ('sgr', '85099180545'))",383c2603-dd5c-35b5-82d4-90be8074428a
6,conf/kbse/EghbaliP20,10.1145/3324884.3416576,No Strings Attached - An Empirical Study of String-related Software Bugs.,2020,ASE,conf/kbse,"('empirical study', 'software bugs', 'string-related bugs', 'strings')","(('sgr', '85099257199'), ('isbn', '9781450367684'), ('doi', '10.1145/3324884.3416576'), ('pui', '633912025'), ('scopus', '2-s2.0-85099257199'))",cc6fac15-a2a5-31b0-abd6-c519f1699e65
7,conf/kbse/FerreiraCDA20,10.1145/3324884.3415298,SmartBugs - A Framework to Analyze Solidity Smart Contracts.,2020,ASE,conf/kbse,"('Blockchain', 'Debugging', 'Ethereum', 'Reproducible Bugs', 'Smart contracts', 'Solidity', 'Testing', 'Tools')","(('sgr', '85099245555'), ('isbn', '9781450367684'), ('arxiv', '2007.04771'), ('doi', '10.1145/3324884.3415298'), ('pui', '633912027'), ('scopus', '2-s2.0-85099245555'))",c7a1d419-f147-30ae-90aa-893814a5d2e3
8,conf/kbse/HeJLXYYWL20,10.1145/3324884.3416531,CP-Detector - Using Configuration-related Performance Properties to Expose Performance Bugs.,2020,ASE,conf/kbse,"('Performance bug detection', 'Performance property', 'Software configuration')","(('isbn', '9781450367684'), ('sgr', '85099189983'), ('doi', '10.1145/3324884.3416531'), ('pui', '633912157'), ('scopus', '2-s2.0-85099189983'))",510c7cb4-9f32-3923-9189-acf0f2cc36cb
9,conf/kbse/Perera20,10.1145/3324884.3415286,Using Defect Prediction to Improve the Bug Detection Capability of Search-Based Software Testing.,2020,ASE,conf/kbse,"('Automated Test Generation', 'Defect Prediction', 'Search-Based Software Engineering', 'Search-Based Software Testing')","(('isbn', '9781450367684'), ('sgr', '85099233260'), ('doi', '10.1145/3324884.3415286'), ('pui', '633912209'), ('scopus', '2-s2.0-85099233260'))",34036879-6b78-3470-8596-9c0153632ed1
10,conf/kbse/ZhangZCSW20,10.1145/3324884.3418902,Efficient Multiplex Symbolic Execution with Adaptive Search Strategy.,2020,ASE,conf/kbse,"('machine learning', 'search strategy', 'symbolic execution')","(('isbn', '9781450367684'), ('sgr', '85099221960'), ('doi', '10.1145/3324884.3418902'), ('pui', '633912164'), ('scopus', '2-s2.0-85099221960'))",535bcde7-abec-3732-ba3a-8fd81f4cebdd
11,conf/kbse/0002TP19,10.1109/ASE.2019.00124,VeriSmart 2.0 - Swarm-Based Bug-Finding for Multi-threaded Programs with Lazy-CSeq.,2019,ASE,conf/kbse,"('Concurrency', 'Program analysis', 'Sequentialization', 'Swarm verification', 'Verification')","(('isbn', '9781728125084'), ('sgr', '85078890078'), ('doi', '10.1109/ASE.2019.00124'), ('pui', '630812017'), ('scopus', '2-s2.0-85078890078'))",72eee773-b2eb-32a9-8885-86842273d27c
12,conf/kbse/ChenD0Q19,10.1109/ASE.2019.00040,Understanding Exception-Related Bugs in Large-Scale Cloud Systems.,2019,ASE,conf/kbse,"('Cloud system', 'Empirical study', 'Exception handling')","(('pui', '630810882'), ('scopus', '2-s2.0-85076772594'), ('isbn', '9781728125084'), ('doi', '10.1109/ASE.2019.00040'), ('sgr', '85076772594'))",c779020c-e904-3096-b6e0-565febe3098d
13,conf/kbse/ChenJML19,10.1109/ASE.2019.00066,An Industrial Experience Report on Performance-Aware Refactoring on a Database-Centric Web Application.,2019,ASE,conf/kbse,"('Database centric applications', 'Experience report', 'ORM framework', 'Performance anti patterns', 'Refactoring')","(('sgr', '85078912831'), ('isbn', '9781728125084'), ('doi', '10.1109/ASE.2019.00066'), ('pui', '630810731'), ('scopus', '2-s2.0-85078912831'))",a088f208-8645-314f-a977-1bdffb6fc5b1
14,conf/kbse/ChenSHWL19,10.1109/ASE.2019.00068,An Experience Report of Generating Load Tests Using Log-Recovered Workloads at Varying Granularities of User Behaviour.,2019,ASE,conf/kbse,"('Load tests', 'Software log analysis', 'Software performance', 'Workload recovery')","(('isbn', '9781728125084'), ('sgr', '85078931861'), ('doi', '10.1109/ASE.2019.00068'), ('pui', '630812054'), ('scopus', '2-s2.0-85078931861'))",240c6d99-292a-381e-b63f-62f6684c45fb
15,conf/kbse/JiaLYLWLL19,10.1109/ASE.2019.00029,Detecting Error-Handling Bugs without Error Specification Input.,2019,ASE,conf/kbse,"('Error handling', 'Library function', 'Specification')","(('isbn', '9781728125084'), ('sgr', '85078935530'), ('doi', '10.1109/ASE.2019.00029'), ('pui', '630811972'), ('scopus', '2-s2.0-85078935530'))",e025a2bb-39a3-3b3b-b058-1cb0860bef2d
16,conf/kbse/JiangWXCZ19,10.1109/ASE.2019.00054,Combining Spectrum-Based Fault Localization and Statistical Debugging - An Empirical Study.,2019,ASE,conf/kbse,"('Fault localization', 'Program debugging', 'Software engineering')","(('isbn', '9781728125084'), ('sgr', '85078916288'), ('doi', '10.1109/ASE.2019.00054'), ('pui', '630811312'), ('scopus', '2-s2.0-85078916288'))",319cf0fa-c95d-3a85-98a9-7fc515e0c37b
