,doi,forum,forum id,paper id,title,year
0,10.1145/3324884.3416566,ASE,conf/kbse,conf/kbse/BentonLLZ20,On the Effectiveness of Unified Debugging - An Extensive Study on 16 Program Repair Systems.,2020
1,10.1145/3324884.3415300,ASE,conf/kbse,conf/kbse/CaoWYYF20,STIFA - Crowdsourced Mobile Testing Report Selection Based on Text and Image Fusion Analysis.,2020
2,10.1145/3324884.3418934,ASE,conf/kbse,conf/kbse/CaoYJZSZ20,BugPecker - Locating Faulty Methods with Deep Learning on Revision Graphs.,2020
3,10.1145/3324884.3418904,ASE,conf/kbse,conf/kbse/ChenCSZP20,Synthesizing Smart Solving Strategy for Symbolic Execution.,2020
4,10.1145/3324884.3416570,ASE,conf/kbse,conf/kbse/ChenMZ20,Enhanced Compiler Bug Isolation via Memoized Search.,2020
5,10.1145/3324884.3416538,ASE,conf/kbse,conf/kbse/ChenXYJCX20,Stay Professional and Efficient - Automatically Generate Titles for Your Bug Reports.,2020
6,10.1145/3324884.3416576,ASE,conf/kbse,conf/kbse/EghbaliP20,No Strings Attached - An Empirical Study of String-related Software Bugs.,2020
7,10.1145/3324884.3415298,ASE,conf/kbse,conf/kbse/FerreiraCDA20,SmartBugs - A Framework to Analyze Solidity Smart Contracts.,2020
8,10.1145/3324884.3416531,ASE,conf/kbse,conf/kbse/HeJLXYYWL20,CP-Detector - Using Configuration-related Performance Properties to Expose Performance Bugs.,2020
9,10.1145/3324884.3415286,ASE,conf/kbse,conf/kbse/Perera20,Using Defect Prediction to Improve the Bug Detection Capability of Search-Based Software Testing.,2020
10,10.1145/3324884.3418902,ASE,conf/kbse,conf/kbse/ZhangZCSW20,Efficient Multiplex Symbolic Execution with Adaptive Search Strategy.,2020
11,10.1109/ASE.2019.00124,ASE,conf/kbse,conf/kbse/0002TP19,VeriSmart 2.0 - Swarm-Based Bug-Finding for Multi-threaded Programs with Lazy-CSeq.,2019
12,10.1109/ASE.2019.00040,ASE,conf/kbse,conf/kbse/ChenD0Q19,Understanding Exception-Related Bugs in Large-Scale Cloud Systems.,2019
13,10.1109/ASE.2019.00066,ASE,conf/kbse,conf/kbse/ChenJML19,An Industrial Experience Report on Performance-Aware Refactoring on a Database-Centric Web Application.,2019
14,10.1109/ASE.2019.00068,ASE,conf/kbse,conf/kbse/ChenSHWL19,An Experience Report of Generating Load Tests Using Log-Recovered Workloads at Varying Granularities of User Behaviour.,2019
15,10.1109/ASE.2019.00029,ASE,conf/kbse,conf/kbse/JiaLYLWLL19,Detecting Error-Handling Bugs without Error Specification Input.,2019
16,10.1109/ASE.2019.00054,ASE,conf/kbse,conf/kbse/JiangWXCZ19,Combining Spectrum-Based Fault Localization and Statistical Debugging - An Empirical Study.,2019
17,10.1109/ASE.2019.00036,ASE,conf/kbse,conf/kbse/RahatFT19,OAUTHLINT - An Empirical Study on OAuth Bugs in Android Applications.,2019
18,10.1109/ASE.2019.00038,ASE,conf/kbse,conf/kbse/StepanovAB19,ReduKtor - How We Stopped Worrying About Bugs in Kotlin Compiler.,2019
19,10.1109/ASE.2019.00143,ASE,conf/kbse,conf/kbse/Wu0C19,Better Development of Safety Critical Systems - Chinese High Speed Railway System Development Experience Report.,2019
20,10.1109/ASE.2019.00161,ASE,conf/kbse,conf/kbse/Yu19a,Crowdsourced Report Generation via Bug Screenshot Understanding.,2019
21,10.1145/3238147.3238186,ASE,conf/kbse,conf/kbse/Arora0IKR18,Replay without recording of production bugs for service oriented applications.,2018
22,10.1145/3238147.3240463,ASE,conf/kbse,conf/kbse/GafurovHM18,Achieving test automation with testers without coding skills - an industrial report.,2018
23,10.1145/3238147.3238213,ASE,conf/kbse,conf/kbse/HabibP18a,How many of all bugs do we find? a study of static bug detectors.,2018
24,10.1145/3238147.3238204,ASE,conf/kbse,conf/kbse/HanYL18,PerfLearner - learning from bug reports to understand and generate performance test frames.,2018
25,10.1145/3238147.3238180,ASE,conf/kbse,conf/kbse/HuWLCH18,A tale of two cities - how WebView induces bugs to Android applications.,2018
26,10.1145/3238147.3238176,ASE,conf/kbse,conf/kbse/LemieuxS18,FairFuzz - a targeted mutation strategy for increasing greybox fuzz testing coverage.,2018
27,10.1145/3238147.3238163,ASE,conf/kbse,conf/kbse/Lin0TBWD18,Break the dead end of dynamic slicing - localizing data and control omission bug.,2018
