,doi,forum,forum id,paper id,title,year,mendeley keywords,publication ids,mendeley id
0,10.1145/3324884.3416566,ASE,conf/kbse,conf/kbse/BentonLLZ20,On the Effectiveness of Unified Debugging - An Extensive Study on 16 Program Repair Systems.,2020,"('Fault localization', 'Program repair', 'Unified debugging')","(('pui', '633912062'), ('doi', '10.1145/3324884.3416566'), ('scopus', '2-s2.0-85099220116'), ('isbn', '9781450367684'), ('sgr', '85099220116'))",b46e3149-e0cb-33a2-8fdc-a7612583ba27
1,10.1145/3324884.3415300,ASE,conf/kbse,conf/kbse/CaoWYYF20,STIFA - Crowdsourced Mobile Testing Report Selection Based on Text and Image Fusion Analysis.,2020,"('Cluster Analysis', 'Crowdsourced Mobile Testing', 'Image Understanding', 'Test Report Selection', 'Text Analysis')","(('pui', '633912175'), ('doi', '10.1145/3324884.3415300'), ('scopus', '2-s2.0-85099258586'), ('isbn', '9781450367684'), ('sgr', '85099258586'))",7b355cd0-2286-30b5-8ab0-11eb5020bd92
2,10.1145/3324884.3418934,ASE,conf/kbse,conf/kbse/CaoYJZSZ20,BugPecker - Locating Faulty Methods with Deep Learning on Revision Graphs.,2020,"('bug localization', 'deep learning', 'revision graph')","(('pui', '633912074'), ('doi', '10.1145/3324884.3418934'), ('scopus', '2-s2.0-85099240542'), ('isbn', '9781450367684'), ('sgr', '85099240542'))",94177534-cf7f-32b2-bde6-342262e52aeb
3,10.1145/3324884.3418904,ASE,conf/kbse,conf/kbse/ChenCSZP20,Synthesizing Smart Solving Strategy for Symbolic Execution.,2020,"('SMT Solving Strategy', 'Symbolic Execution', 'Synthesis')","(('sgr', '85099206101'), ('isbn', '9781450367684'), ('scopus', '2-s2.0-85099206101'), ('doi', '10.1145/3324884.3418904'), ('pui', '633912102'))",633766d0-6e4b-377b-8a3a-c08feab99e59
4,10.1145/3324884.3416570,ASE,conf/kbse,conf/kbse/ChenMZ20,Enhanced Compiler Bug Isolation via Memoized Search.,2020,"('Compiler Bug Isolation', 'Fault Localization', 'Reinforcement Learning')","(('pui', '633912189'), ('doi', '10.1145/3324884.3416570'), ('scopus', '2-s2.0-85097135763'), ('isbn', '9781450367684'), ('sgr', '85097135763'))",0d2d00fb-07d7-3af5-8c80-096522e5c593
5,10.1145/3324884.3416538,ASE,conf/kbse,conf/kbse/ChenXYJCX20,Stay Professional and Efficient - Automatically Generate Titles for Your Bug Reports.,2020,"('bug report quality', 'issue title generation', 'low-frequency token handling', 'one-sentence summarization')","(('pui', '633912105'), ('doi', '10.1145/3324884.3416538'), ('scopus', '2-s2.0-85099180545'), ('isbn', '9781450367684'), ('sgr', '85099180545'))",383c2603-dd5c-35b5-82d4-90be8074428a
6,10.1145/3324884.3416576,ASE,conf/kbse,conf/kbse/EghbaliP20,No Strings Attached - An Empirical Study of String-related Software Bugs.,2020,"('empirical study', 'software bugs', 'string-related bugs', 'strings')","(('sgr', '85099257199'), ('isbn', '9781450367684'), ('scopus', '2-s2.0-85099257199'), ('doi', '10.1145/3324884.3416576'), ('pui', '633912025'))",cc6fac15-a2a5-31b0-abd6-c519f1699e65
7,10.1145/3324884.3415298,ASE,conf/kbse,conf/kbse/FerreiraCDA20,SmartBugs - A Framework to Analyze Solidity Smart Contracts.,2020,"('Blockchain', 'Debugging', 'Ethereum', 'Reproducible Bugs', 'Smart contracts', 'Solidity', 'Testing', 'Tools')","(('pui', '633912027'), ('doi', '10.1145/3324884.3415298'), ('scopus', '2-s2.0-85099245555'), ('isbn', '9781450367684'), ('sgr', '85099245555'), ('arxiv', '2007.04771'))",c7a1d419-f147-30ae-90aa-893814a5d2e3
8,10.1145/3324884.3416531,ASE,conf/kbse,conf/kbse/HeJLXYYWL20,CP-Detector - Using Configuration-related Performance Properties to Expose Performance Bugs.,2020,"('Performance bug detection', 'Performance property', 'Software configuration')","(('pui', '633912157'), ('doi', '10.1145/3324884.3416531'), ('isbn', '9781450367684'), ('sgr', '85099189983'), ('scopus', '2-s2.0-85099189983'))",510c7cb4-9f32-3923-9189-acf0f2cc36cb
9,10.1145/3324884.3415286,ASE,conf/kbse,conf/kbse/Perera20,Using Defect Prediction to Improve the Bug Detection Capability of Search-Based Software Testing.,2020,"('Automated Test Generation', 'Defect Prediction', 'Search-Based Software Engineering', 'Search-Based Software Testing')","(('sgr', '85099233260'), ('isbn', '9781450367684'), ('scopus', '2-s2.0-85099233260'), ('doi', '10.1145/3324884.3415286'), ('pui', '633912209'))",34036879-6b78-3470-8596-9c0153632ed1
10,10.1145/3324884.3418902,ASE,conf/kbse,conf/kbse/ZhangZCSW20,Efficient Multiplex Symbolic Execution with Adaptive Search Strategy.,2020,"('machine learning', 'search strategy', 'symbolic execution')","(('pui', '633912164'), ('doi', '10.1145/3324884.3418902'), ('scopus', '2-s2.0-85099221960'), ('isbn', '9781450367684'), ('sgr', '85099221960'))",535bcde7-abec-3732-ba3a-8fd81f4cebdd
11,10.1109/ASE.2019.00124,ASE,conf/kbse,conf/kbse/0002TP19,VeriSmart 2.0 - Swarm-Based Bug-Finding for Multi-threaded Programs with Lazy-CSeq.,2019,"('Concurrency', 'Program analysis', 'Sequentialization', 'Swarm verification', 'Verification')","(('pui', '630812017'), ('doi', '10.1109/ASE.2019.00124'), ('scopus', '2-s2.0-85078890078'), ('isbn', '9781728125084'), ('sgr', '85078890078'))",72eee773-b2eb-32a9-8885-86842273d27c
12,10.1109/ASE.2019.00040,ASE,conf/kbse,conf/kbse/ChenD0Q19,Understanding Exception-Related Bugs in Large-Scale Cloud Systems.,2019,"('Cloud system', 'Empirical study', 'Exception handling')","(('pui', '630810882'), ('doi', '10.1109/ASE.2019.00040'), ('isbn', '9781728125084'), ('sgr', '85076772594'), ('scopus', '2-s2.0-85076772594'))",c779020c-e904-3096-b6e0-565febe3098d
13,10.1109/ASE.2019.00066,ASE,conf/kbse,conf/kbse/ChenJML19,An Industrial Experience Report on Performance-Aware Refactoring on a Database-Centric Web Application.,2019,"('Database centric applications', 'Experience report', 'ORM framework', 'Performance anti patterns', 'Refactoring')","(('pui', '630810731'), ('doi', '10.1109/ASE.2019.00066'), ('isbn', '9781728125084'), ('sgr', '85078912831'), ('scopus', '2-s2.0-85078912831'))",a088f208-8645-314f-a977-1bdffb6fc5b1
