,keyword,paper id
0,debugging,conf/kbse/BentonLLZ20
1,debug,conf/kbse/BentonLLZ20
2,bug,conf/kbse/BentonLLZ20
3,report,conf/kbse/CaoWYYF20
4,bug,conf/kbse/CaoYJZSZ20
5,strategy,conf/kbse/ChenCSZP20
6,bug,conf/kbse/ChenMZ20
7,report,conf/kbse/ChenXYJCX20
8,bug,conf/kbse/ChenXYJCX20
9,bug,conf/kbse/EghbaliP20
10,bug,conf/kbse/FerreiraCDA20
11,bug,conf/kbse/HeJLXYYWL20
12,bug,conf/kbse/Perera20
13,strategy,conf/kbse/ZhangZCSW20
14,bug,conf/kbse/0002TP19
15,bug,conf/kbse/ChenD0Q19
16,report,conf/kbse/ChenJML19
17,report,conf/kbse/ChenSHWL19
18,bug,conf/kbse/JiaLYLWLL19
19,fault localization,conf/kbse/JiangWXCZ19
20,debugging,conf/kbse/JiangWXCZ19
21,debug,conf/kbse/JiangWXCZ19
22,bug,conf/kbse/JiangWXCZ19
23,bug,conf/kbse/RahatFT19
24,bug,conf/kbse/StepanovAB19
25,report,conf/kbse/Wu0C19
26,report,conf/kbse/Yu19a
27,bug,conf/kbse/Yu19a
28,bug,conf/kbse/Arora0IKR18
29,report,conf/kbse/GafurovHM18
30,bug,conf/kbse/HabibP18a
31,report,conf/kbse/HanYL18
32,bug,conf/kbse/HanYL18
33,bug,conf/kbse/HuWLCH18
34,strategy,conf/kbse/LemieuxS18
35,bug,conf/kbse/Lin0TBWD18
36,bug,conf/kbse/LinWLSZW18
37,bug,conf/kbse/TufanoWBPWP18
38,debugging,conf/kbse/ZhouPX0LJD18
39,debug,conf/kbse/ZhouPX0LJD18
40,bug,conf/kbse/ZhouPX0LJD18
41,report,conf/kbse/CastanoBGU17
42,bug,conf/kbse/FrancoGR17
43,bug,conf/kbse/NguyenS0TP17
44,bug,conf/kbse/Wang17
45,bug,conf/kbse/WangDGGQYW17
46,debug,conf/kbse/0002HB16a
47,bug,conf/kbse/0002HB16a
48,report,conf/kbse/AlmhanaMK016
49,bug,conf/kbse/AlmhanaMK016
50,debugging,conf/kbse/AsadollahSESH16
51,debug,conf/kbse/AsadollahSESH16
52,bug,conf/kbse/AsadollahSESH16
53,bug,conf/kbse/BocicB16
54,report,conf/kbse/FengJCF16
55,bug,conf/kbse/LegunsenHXRM16
56,bug,conf/kbse/TangWWZ16
57,bug,conf/kbse/WangCMT16
58,report,conf/kbse/WangWCW16
59,bug,conf/kbse/WenWC16
60,debugging,conf/kbse/2016sctdcp
61,debug,conf/kbse/2016sctdcp
62,bug,conf/kbse/2016sctdcp
63,bug,conf/kbse/DeligiannisDR15
64,bug,conf/kbse/GaoZWXZM15
65,fault localization,conf/kbse/HongLKJKKK15
66,report,conf/kbse/LamNNN15
67,bug,conf/kbse/LamNNN15
68,bug,conf/kbse/LinMZCZ15
